Account_ID,Account_Name,Account_Type,Service_Application,Business_Owner,Technical_Owner,Environment,Account_Status,Interactive_Logon_Allowed,Privileged_Access_Flag,PAM_Onboarded,PAM_Safe,Password_Mgmt,Last_Rotation_Date,Next_Rotation_Due,Rotation_Status,Hardcoded_Secret_Status,Auth_Framework_Integration,Least_Privilege_Status,Inactivity_Days,Last_Access_Review,Next_Access_Review,Compliance_Status,Risk_Rating,Remediation_Owner,Regulatory_Framework,Last_Updated
SVC-2095,svc-batch-095,System,APP-174,Marketing,DevOps,Production,Enabled,No,False,Exempted,N/A,Automatic,2026-07-07,2026-09-11,Compliant,Suspected,Integrated,Compliant,141,2026-04-29,2026-12-24,Compliant,Critical,DBA Team,PCI DSS,2026-08-13
SVC-2096,svc-batch-096,Application,APP-156,Security,DBA Team,Development,Enabled,Yes,False,Not Onboarded,N/A,Automatic,2026-08-25,2026-09-28,Failed,Confirmed,Integrated,Compliant,175,2026-05-15,2027-02-20,Non-Compliant,High,IAM Team,ISO 27001,2026-08-01
SVC-2097,svc-db-097,Application,APP-142,HR,DevOps,Development,Pending Retirement,No,True,Onboarded,Safe-Svc-7,Automatic,2026-07-07,2026-09-01,Overdue,None Known,Integrated,Excessive,115,2026-03-16,2026-11-13,Compliant,High,Network Ops,PCI DSS,2026-08-25
SVC-2098,svc-api-098,Integration,APP-103,Operations,Platform Ops,Production,Pending Retirement,No,True,Pending,N/A,Automatic,2026-06-20,2026-09-01,Compliant,None Known,Integrated,Compliant,105,2026-05-18,2026-10-07,Not Assessed,High,SOC,HIPAA,2026-08-03
SVC-2099,svc-db-099,Application,APP-126,Engineering,SOC,QA,Enabled,No,True,Onboarded,Safe-Svc-4,Manual,2026-05-31,2026-09-26,Compliant,None Known,Integrated,Compliant,102,2026-03-25,2026-10-30,Non-Compliant,Low,SOC,HIPAA,2026-08-12
SVC-2100,svc-app-100,Batch,APP-182,Security,AppSec,UAT,Enabled,No,False,Not Onboarded,N/A,Automatic,2026-08-04,2026-10-24,Overdue,None Known,Integrated,Excessive,178,2026-04-03,2026-09-21,Compliant,Low,Platform Ops,PCI DSS,2026-08-18
SVC-2101,svc-api-101,Batch,APP-185,Finance,DevOps,DR,Pending Retirement,No,False,Pending,N/A,Automatic,2026-07-10,2026-09-01,Overdue,None Known,Not Integrated,Compliant,42,2026-06-23,2026-10-20,Non-Compliant,Medium,IAM Team,HIPAA,2026-08-14
SVC-2102,svc-batch-102,System,APP-124,Security,IAM Team,Production,Enabled,No,True,Onboarded,Safe-Svc-8,Automatic,2026-08-18,2026-09-02,Overdue,None Known,Exempted,Compliant,71,2026-07-16,2026-10-10,Partially Compliant,Medium,Platform Ops,SOX,2026-08-23
SVC-2103,svc-batch-103,Application,APP-109,Legal,DBA Team,Production,Enabled,No,True,Onboarded,Safe-Svc-4,Manual,2026-06-01,2026-10-01,Compliant,Suspected,Partial,Non-Compliant,164,2026-03-10,2027-02-12,Exception Approved,Medium,AppSec,HIPAA,2026-08-25
SVC-2104,svc-app-104,System,APP-148,Marketing,Platform Ops,DR,Enabled,No,True,Not Onboarded,N/A,Automatic,2026-08-25,2026-09-18,Failed,Suspected,Integrated,Exception,24,2026-03-09,2026-10-09,Partially Compliant,Critical,Network Ops,NIST 800-53,2026-07-31
SVC-2105,svc-api-105,API,APP-124,HR,Platform Ops,Development,Enabled,No,True,Onboarded,Safe-Svc-2,Automatic,2026-08-04,2026-08-28,Compliant,None Known,Integrated,Compliant,16,2026-03-11,2026-11-07,Non-Compliant,Medium,IAM Team,PCI DSS,2026-08-13
SVC-2106,svc-api-106,Integration,APP-113,Legal,Network Ops,Development,Enabled,No,False,Onboarded,Safe-Svc-7,Manual,2026-05-30,2026-09-05,Compliant,Suspected,Partial,Compliant,170,2026-04-25,2026-09-14,Compliant,Medium,Network Ops,HIPAA,2026-08-14
SVC-2107,svc-db-107,Database,APP-175,Legal,IAM Team,DR,Enabled,No,True,Onboarded,Safe-Svc-4,Manual,2026-07-26,2026-10-06,Compliant,None Known,Integrated,Compliant,96,2026-07-05,2027-02-08,Compliant,Low,Network Ops,HIPAA,2026-08-03
SVC-2108,svc-db-108,Batch,APP-140,Legal,DBA Team,Production,Enabled,No,False,Pending,N/A,Automatic,2026-08-23,2026-09-11,Failed,None Known,Integrated,Excessive,170,2026-06-24,2027-02-19,Non-Compliant,High,DBA Team,HIPAA,2026-08-10
SVC-2109,svc-batch-109,API,APP-100,Finance,DBA Team,QA,Enabled,No,False,Onboarded,Safe-Svc-3,Exempted,2026-08-10,2026-09-02,Compliant,None Known,Not Integrated,Compliant,129,2026-08-06,2026-12-15,Partially Compliant,High,DevOps,PCI DSS,2026-08-19
SVC-2110,svc-api-110,Application,APP-138,Engineering,Network Ops,QA,Pending Retirement,No,False,Onboarded,Safe-Svc-8,Automatic,2026-07-11,2026-09-22,Compliant,None Known,Integrated,Excessive,110,2026-07-18,2026-12-29,Compliant,Medium,DBA Team,NIST 800-53,2026-08-02
SVC-2111,svc-int-111,Database,APP-168,Operations,Network Ops,DR,Enabled,No,True,Pending,N/A,Automatic,2026-06-10,2026-09-27,Compliant,None Known,Integrated,Compliant,48,2026-08-25,2026-08-31,Exception Approved,Medium,AppSec,HIPAA,2026-08-14
SVC-2112,svc-batch-112,API,APP-147,Security,SOC,UAT,Enabled,No,True,Exempted,N/A,Automatic,2026-08-11,2026-09-21,Exception,None Known,Not Integrated,Exception,197,2026-05-29,2027-01-05,Non-Compliant,Medium,AppSec,NIST 800-53,2026-08-06
SVC-2113,svc-batch-113,API,APP-131,Operations,SOC,Production,Pending Retirement,No,False,Onboarded,Safe-Svc-1,Manual,2026-06-05,2026-09-06,Compliant,None Known,Not Integrated,Compliant,154,2026-03-31,2027-02-13,Partially Compliant,Critical,DBA Team,NIST 800-53,2026-08-06
SVC-2114,svc-batch-114,Integration,APP-190,HR,IAM Team,Development,Pending Retirement,No,True,Not Onboarded,N/A,Automatic,2026-05-30,2026-09-16,Overdue,None Known,Partial,Excessive,187,2026-05-13,2026-09-19,Compliant,Medium,DBA Team,SOX,2026-07-31
SVC-2115,svc-db-115,API,APP-150,Legal,AppSec,Production,Pending Retirement,No,True,Onboarded,Safe-Svc-2,Manual,2026-07-04,2026-09-30,Compliant,None Known,Integrated,Compliant,47,2026-07-23,2026-10-17,Compliant,Medium,IAM Team,HIPAA,2026-08-08
SVC-2116,svc-db-116,Application,APP-107,Legal,Platform Ops,DR,Enabled,No,True,Pending,N/A,Manual,2026-06-08,2026-09-03,Failed,None Known,Integrated,Compliant,70,2026-08-10,2026-11-23,Compliant,High,SOC,NIST 800-53,2026-08-26
SVC-2117,svc-app-117,API,APP-174,Marketing,IAM Team,Production,Enabled,No,True,Onboarded,Safe-Svc-5,Exempted,2026-06-27,2026-10-15,Compliant,None Known,Integrated,Non-Compliant,80,2026-06-26,2026-11-28,Non-Compliant,Medium,IAM Team,SOX,2026-07-30
SVC-2118,svc-app-118,Service,APP-158,Marketing,DevOps,QA,Disabled,No,True,Onboarded,Safe-Svc-2,Not Configured,2026-07-22,2026-10-11,Overdue,None Known,Integrated,Excessive,121,2026-04-17,2026-12-11,Non-Compliant,Critical,DevOps,SOX,2026-08-26
SVC-2119,svc-app-119,System,APP-194,Engineering,DevOps,QA,Enabled,No,False,Not Onboarded,N/A,Not Configured,2026-07-13,2026-09-24,Exception,Remediating,Integrated,Excessive,179,2026-08-01,2026-12-04,Compliant,High,Platform Ops,ISO 27001,2026-07-29
SVC-2120,svc-api-120,Service,APP-116,Security,DBA Team,Production,Enabled,No,True,Not Onboarded,N/A,Not Configured,2026-08-05,2026-10-24,Compliant,None Known,Not Integrated,Compliant,54,2026-07-14,2027-02-12,Non-Compliant,High,DevOps,NIST 800-53,2026-08-21
SVC-2121,svc-int-121,Integration,APP-198,Engineering,Platform Ops,UAT,Enabled,No,False,Exempted,N/A,Manual,2026-06-19,2026-10-07,Overdue,None Known,Not Integrated,Non-Compliant,147,2026-03-26,2026-09-13,Non-Compliant,Medium,DevOps,HIPAA,2026-08-06
SVC-2122,svc-api-122,System,APP-155,Marketing,Platform Ops,DR,Enabled,No,True,Not Onboarded,N/A,Automatic,2026-06-12,2026-10-26,Compliant,Remediating,Integrated,Compliant,80,2026-05-21,2027-01-22,Partially Compliant,High,Network Ops,ISO 27001,2026-08-20
SVC-2123,svc-batch-123,Batch,APP-198,Engineering,DBA Team,DR,Enabled,No,True,Pending,N/A,Automatic,2026-06-19,2026-10-21,Compliant,None Known,Exempted,Non-Compliant,127,2026-03-05,2026-12-22,Compliant,High,DevOps,NIST 800-53,2026-08-07
SVC-2124,svc-api-124,API,APP-115,Engineering,DBA Team,Development,Enabled,No,True,Onboarded,Safe-Svc-7,Automatic,2026-07-15,2026-09-06,Failed,None Known,Not Integrated,Non-Compliant,179,2026-08-13,2026-10-12,Partially Compliant,Medium,AppSec,PCI DSS,2026-08-26
SVC-2125,svc-int-125,Integration,APP-186,Security,AppSec,QA,Enabled,No,True,Onboarded,Safe-Svc-4,Manual,2026-06-17,2026-09-22,Compliant,None Known,Not Integrated,Non-Compliant,13,2026-06-10,2026-12-23,Non-Compliant,Medium,SOC,HIPAA,2026-08-17
SVC-2126,svc-db-126,Application,APP-195,Operations,DevOps,Production,Enabled,No,True,Pending,N/A,Not Configured,2026-08-08,2026-09-21,Exception,None Known,Partial,Exception,24,2026-05-27,2026-12-27,Compliant,Critical,Network Ops,SOX,2026-08-08
SVC-2127,svc-db-127,API,APP-192,Security,Platform Ops,Production,Enabled,No,True,Onboarded,Safe-Svc-3,Manual,2026-07-09,2026-10-16,Overdue,Confirmed,Not Integrated,Non-Compliant,166,2026-05-21,2026-11-06,Non-Compliant,Medium,IAM Team,NIST 800-53,2026-08-23
SVC-2128,svc-batch-128,API,APP-185,HR,Platform Ops,Production,Enabled,No,True,Onboarded,Safe-Svc-2,Not Configured,2026-08-03,2026-09-21,Compliant,Suspected,Integrated,Excessive,25,2026-06-04,2026-09-13,Non-Compliant,Low,Network Ops,PCI DSS,2026-08-14
SVC-2129,svc-app-129,Integration,APP-171,Marketing,Network Ops,Development,Enabled,No,False,Pending,N/A,Manual,2026-06-04,2026-09-04,Overdue,None Known,Not Integrated,Compliant,153,2026-03-02,2026-10-13,Compliant,Medium,AppSec,NIST 800-53,2026-08-25
SVC-2130,svc-db-130,API,APP-120,Finance,Network Ops,UAT,Disabled,Yes,False,Onboarded,Safe-Svc-5,Automatic,2026-06-18,2026-09-07,Compliant,Remediating,Integrated,Compliant,132,2026-06-12,2027-02-12,Non-Compliant,High,SOC,SOX,2026-08-10
SVC-2131,svc-int-131,Database,APP-168,HR,Platform Ops,Production,Enabled,Yes,True,Pending,N/A,Automatic,2026-07-30,2026-09-05,Overdue,None Known,Integrated,Compliant,159,2026-05-10,2026-09-16,Non-Compliant,High,DevOps,PCI DSS,2026-08-14
SVC-2132,svc-int-132,API,APP-154,Legal,Platform Ops,Development,Enabled,No,True,Onboarded,Safe-Svc-4,Manual,2026-06-15,2026-10-09,Overdue,None Known,Integrated,Non-Compliant,80,2026-05-07,2026-12-03,Compliant,Medium,IAM Team,SOX,2026-08-23
SVC-2133,svc-api-133,Integration,APP-108,Engineering,DevOps,Production,Enabled,No,True,Onboarded,Safe-Svc-4,Automatic,2026-08-14,2026-09-21,Exception,None Known,Exempted,Non-Compliant,31,2026-07-13,2027-01-09,Partially Compliant,High,DBA Team,HIPAA,2026-08-23
SVC-2134,svc-api-134,System,APP-136,HR,AppSec,Development,Enabled,Yes,True,Onboarded,Safe-Svc-7,Automatic,2026-06-01,2026-10-17,Overdue,None Known,Partial,Compliant,32,2026-06-21,2026-08-30,Non-Compliant,Medium,DevOps,PCI DSS,2026-08-22
SVC-2135,svc-int-135,Service,APP-192,Legal,AppSec,DR,Enabled,No,True,Onboarded,Safe-Svc-8,Exempted,2026-06-28,2026-09-29,Compliant,Remediating,Integrated,Excessive,58,2026-06-09,2027-02-06,Partially Compliant,Low,SOC,SOX,2026-07-30
SVC-2136,svc-app-136,Service,APP-193,Operations,IAM Team,DR,Enabled,Yes,True,Onboarded,Safe-Svc-8,Not Configured,2026-08-25,2026-09-24,Overdue,Remediating,Integrated,Compliant,175,2026-03-06,2027-01-11,Non-Compliant,Medium,Network Ops,PCI DSS,2026-07-28
SVC-2137,svc-app-137,API,APP-154,Legal,Network Ops,UAT,Enabled,No,False,Pending,N/A,Not Configured,2026-06-20,2026-10-10,Overdue,Suspected,Exempted,Excessive,195,2026-04-14,2026-10-24,Compliant,Medium,Platform Ops,ISO 27001,2026-08-15
SVC-2138,svc-batch-138,Integration,APP-148,Operations,AppSec,Production,Enabled,No,False,Exempted,N/A,Not Configured,2026-08-11,2026-09-15,Compliant,None Known,Integrated,Excessive,145,2026-05-18,2026-10-22,Exception Approved,Low,DevOps,ISO 27001,2026-07-31
SVC-2139,svc-batch-139,Database,APP-162,Finance,AppSec,Production,Enabled,No,True,Pending,N/A,Automatic,2026-08-03,2026-09-22,Compliant,None Known,Integrated,Compliant,131,2026-07-18,2026-12-11,Compliant,Medium,Platform Ops,SOX,2026-08-19
SVC-2140,svc-int-140,Batch,APP-146,Security,Platform Ops,Development,Disabled,Yes,True,Onboarded,Safe-Svc-8,Automatic,2026-07-12,2026-10-14,Compliant,None Known,Partial,Compliant,48,2026-06-15,2026-09-07,Compliant,Medium,AppSec,NIST 800-53,2026-08-21
SVC-2141,svc-batch-141,API,APP-134,Finance,SOC,QA,Enabled,No,False,Not Onboarded,N/A,Automatic,2026-07-06,2026-09-29,Overdue,Suspected,Partial,Compliant,27,2026-08-21,2026-09-29,Compliant,Medium,DBA Team,PCI DSS,2026-08-25
SVC-2142,svc-int-142,Integration,APP-176,Legal,IAM Team,QA,Enabled,No,True,Not Onboarded,N/A,Automatic,2026-06-08,2026-09-06,Overdue,None Known,Integrated,Compliant,67,2026-02-28,2026-10-30,Non-Compliant,Medium,SOC,NIST 800-53,2026-08-04
SVC-2143,svc-api-143,Application,APP-124,Marketing,Network Ops,DR,Enabled,Yes,True,Not Onboarded,N/A,Exempted,2026-08-08,2026-09-24,Compliant,None Known,Partial,Compliant,134,2026-06-09,2027-02-23,Non-Compliant,High,AppSec,HIPAA,2026-08-11
SVC-2144,svc-batch-144,API,APP-106,Engineering,IAM Team,UAT,Enabled,No,False,Onboarded,Safe-Svc-4,Automatic,2026-08-20,2026-09-08,Compliant,None Known,Not Integrated,Compliant,120,2026-06-16,2027-01-30,Compliant,High,SOC,SOX,2026-08-16
SVC-2145,svc-app-145,API,APP-101,Legal,Network Ops,DR,Enabled,No,True,Onboarded,Safe-Svc-6,Automatic,2026-07-22,2026-09-10,Overdue,None Known,Integrated,Excessive,154,2026-07-27,2026-09-07,Non-Compliant,Low,DevOps,PCI DSS,2026-08-20
SVC-2146,svc-app-146,Service,APP-169,HR,AppSec,UAT,Disabled,No,True,Not Onboarded,N/A,Manual,2026-08-21,2026-09-05,Compliant,None Known,Integrated,Non-Compliant,143,2026-05-30,2026-11-29,Compliant,Medium,SOC,NIST 800-53,2026-08-11
SVC-2147,svc-api-147,System,APP-102,Operations,Network Ops,UAT,Enabled,Yes,True,Onboarded,Safe-Svc-1,Not Configured,2026-05-30,2026-09-09,Overdue,None Known,Not Integrated,Non-Compliant,19,2026-07-15,2026-12-18,Partially Compliant,Medium,DBA Team,HIPAA,2026-08-14
SVC-2148,svc-db-148,Application,APP-100,Operations,Network Ops,DR,Enabled,Yes,False,Not Onboarded,N/A,Manual,2026-06-23,2026-10-12,Overdue,None Known,Partial,Compliant,68,2026-04-07,2026-09-27,Compliant,Critical,Platform Ops,SOX,2026-08-25
SVC-2149,svc-int-149,Application,APP-134,Marketing,DBA Team,Production,Enabled,No,False,Not Onboarded,N/A,Manual,2026-08-26,2026-10-08,Compliant,Suspected,Integrated,Compliant,180,2026-04-08,2026-11-03,Partially Compliant,Medium,Network Ops,SOX,2026-08-16
