Asset_ID,Asset_Name,FQDN,IP_Address_v4,OS_Distribution,Kernel_Version,Environment,Business_Unit,Criticality,Patch_Compliance_Status,Last_Patch_Date,Root_Login_Status,SSH_Hardening_Status,Critical_Vulnerability_Count,High_Vulnerability_Count,PAM_Onboarded,Password_Mgmt,Auth_Framework_Integration,Audit_Logging_Status,Disk_Encryption_Status,Backup_Status,Network_Zone,Compliance_Status,Risk_Rating,Remediation_Owner,Regulatory_Framework,Record_Owner,Last_Updated
LNX-0282,LNX-APP-DR-82,lnx-server-082.corp.local,10.82.67.244,RHEL 9,5.13.44-generic,UAT,Finance,High,Compliant,2026-06-09,Disabled,Partial,15,18,Onboarded,Not Configured,Not Integrated,Enabled,Partial,Successful,Internal,Compliant,Medium,DBA Team,SOX,AppSec,2026-08-17
LNX-0283,LNX-DB-PROD-83,lnx-server-083.corp.local,10.65.123.216,RHEL 8,5.14.29-generic,QA,Finance,Critical,Overdue,2026-08-11,Enabled,Compliant,1,6,Onboarded,Automatic,Partial,Disabled,Enabled,Successful,Management,Compliant,Low,SOC,PCI DSS,SOC,2026-08-10
LNX-0284,LNX-APP-UAT-84,lnx-server-084.corp.local,10.25.208.187,SUSE 15,6.17.6-generic,DR,HR,Critical,Overdue,2026-07-14,Enabled,Compliant,6,16,Onboarded,Automatic,Integrated,Enabled,Enabled,Successful,Internal,Not Assessed,Low,AppSec,SOX,Network Ops,2026-08-18
LNX-0285,LNX-DB-DR-85,lnx-server-085.corp.local,10.45.30.181,RHEL 9,5.10.36-generic,QA,Operations,High,Failed,2026-06-01,Disabled,Compliant,13,19,Onboarded,Automatic,Integrated,Enabled,Enabled,Successful,DMZ,Non-Compliant,High,DBA Team,HIPAA,AppSec,2026-07-31
LNX-0286,LNX-K8S-DR-86,lnx-server-086.corp.local,10.211.39.21,Ubuntu 22.04,5.18.15-generic,DR,Legal,Low,Compliant,2026-08-19,Conditional,Compliant,13,3,Onboarded,Automatic,Integrated,Enabled,Disabled,Failed,Internal,Compliant,Medium,SOC,NIST 800-53,AppSec,2026-08-25
LNX-0287,LNX-WEB-UAT-87,lnx-server-087.corp.local,10.61.140.197,Amazon Linux 2,5.19.48-generic,UAT,HR,Critical,Compliant,2026-08-18,Disabled,Compliant,8,19,Onboarded,Manual,Integrated,Enabled,Disabled,Successful,Management,Exception Approved,Medium,Network Ops,ISO 27001,SOC,2026-08-06
LNX-0288,LNX-APP-PROD-88,lnx-server-088.corp.local,10.119.152.113,SUSE 15,5.16.24-generic,Development,HR,Medium,Compliant,2026-07-09,Conditional,Compliant,15,9,Onboarded,Exempted,Integrated,Enabled,Enabled,Failed,Restricted,Compliant,High,DevOps,ISO 27001,DevOps,2026-08-08
LNX-0289,LNX-MON-UAT-89,lnx-server-089.corp.local,10.234.30.157,Ubuntu 24.04,5.11.45-generic,UAT,Operations,Low,Failed,2026-06-03,Disabled,Compliant,1,16,Not Onboarded,Automatic,Partial,Disabled,Enabled,Successful,DMZ,Non-Compliant,Medium,DevOps,SOX,IAM Team,2026-07-30
LNX-0290,LNX-MON-PROD-90,lnx-server-090.corp.local,10.61.95.176,SUSE 15,6.12.7-generic,Production,Security,Low,Overdue,2026-06-19,Disabled,Non-Compliant,9,29,Exempted,Manual,Integrated,Disabled,Enabled,Successful,Management,Exception Approved,High,Platform Ops,PCI DSS,DBA Team,2026-08-23
LNX-0291,LNX-WEB-UAT-91,lnx-server-091.corp.local,10.132.189.238,RHEL 9,6.18.23-generic,QA,Finance,High,Compliant,2026-08-23,Disabled,Compliant,15,10,Onboarded,Automatic,Integrated,Disabled,Disabled,Successful,Internal,Compliant,Medium,DBA Team,NIST 800-53,Platform Ops,2026-08-10
LNX-0292,LNX-MON-DR-92,lnx-server-092.corp.local,10.203.43.154,SUSE 15,6.18.32-generic,DR,Security,Medium,Compliant,2026-06-02,Conditional,Compliant,1,8,Pending,Automatic,Integrated,Disabled,Enabled,Failed,Management,Compliant,Medium,SOC,ISO 27001,DevOps,2026-08-19
LNX-0293,LNX-WEB-UAT-93,lnx-server-093.corp.local,10.229.207.177,Amazon Linux 2,5.15.46-generic,QA,Engineering,Critical,Exception,2026-06-13,Enabled,Non-Compliant,12,5,Onboarded,Automatic,Integrated,Enabled,Enabled,Successful,Management,Compliant,High,AppSec,ISO 27001,SOC,2026-08-26
LNX-0294,LNX-MON-DR-94,lnx-server-094.corp.local,10.39.17.114,RHEL 8,5.18.21-generic,Production,Security,Critical,Exception,2026-07-12,Disabled,Compliant,13,8,Onboarded,Manual,Integrated,Enabled,Enabled,Failed,DMZ,Compliant,Medium,DevOps,ISO 27001,Platform Ops,2026-08-07
LNX-0295,LNX-K8S-PROD-95,lnx-server-095.corp.local,10.253.67.102,Ubuntu 24.04,5.18.28-generic,Development,HR,Critical,Compliant,2026-08-18,Disabled,Compliant,3,18,Onboarded,Not Configured,Exempted,Enabled,Disabled,Overdue,DMZ,Not Assessed,Low,DevOps,HIPAA,IAM Team,2026-08-19
LNX-0296,LNX-K8S-PROD-96,lnx-server-096.corp.local,10.88.48.252,RHEL 9,5.14.20-generic,Development,HR,Critical,Compliant,2026-05-29,Disabled,Compliant,8,24,Onboarded,Automatic,Integrated,Enabled,Enabled,Successful,Internal,Exception Approved,Medium,AppSec,NIST 800-53,DBA Team,2026-08-08
LNX-0297,LNX-APP-DR-97,lnx-server-097.corp.local,10.194.190.124,SUSE 15,5.18.8-generic,UAT,HR,High,Overdue,2026-06-07,Disabled,Compliant,0,27,Onboarded,Automatic,Partial,Enabled,Enabled,Successful,Management,Non-Compliant,Low,DBA Team,PCI DSS,DBA Team,2026-08-16
LNX-0298,LNX-K8S-UAT-98,lnx-server-098.corp.local,10.97.243.68,Amazon Linux 2,6.19.42-generic,Development,HR,Medium,Compliant,2026-06-13,Disabled,Non-Compliant,14,9,Not Onboarded,Exempted,Integrated,Enabled,Partial,Successful,Restricted,Non-Compliant,Low,DBA Team,NIST 800-53,IAM Team,2026-08-23
LNX-0299,LNX-MON-UAT-99,lnx-server-099.corp.local,10.47.15.217,SUSE 15,6.15.15-generic,QA,Legal,Critical,Compliant,2026-06-27,Disabled,Non-Compliant,1,7,Not Onboarded,Not Configured,Integrated,Disabled,Disabled,Successful,Restricted,Compliant,Low,DevOps,PCI DSS,IAM Team,2026-08-10
