Asset_ID,Asset_Name,FQDN,IP_Address_v4,Operating_System,OS_Build,Environment,Business_Unit,Criticality,Patch_Compliance_Status,Last_Patch_Date,Endpoint_Protection_Status,Critical_Vulnerability_Count,High_Vulnerability_Count,PAM_Onboarded,Password_Mgmt,Local_Admin_Count,Shared_Admin_Account,Auth_Framework_Integration,Encryption_Status,Backup_Status,Network_Zone,Compliance_Status,Risk_Rating,Remediation_Owner,Regulatory_Framework,Record_Owner,Last_Updated
WIN-0185,WIN-DC-PROD-85,win-server-085.corp.local,10.172.183.179,Windows Server 2022,14393.3139,Production,Operations,Medium,Compliant,2026-06-13,Healthy,5,22,Not Onboarded,Automatic,6,Controlled,Partial,Enabled,Successful,Internal,Exception Approved,Medium,AppSec,SOX,Network Ops,2026-08-15
WIN-0186,WIN-DB-PROD-86,win-server-086.corp.local,10.194.156.66,Windows Server 2022,17763.3669,UAT,Security,Critical,Compliant,2026-08-23,Healthy,10,21,Onboarded,Manual,7,Controlled,Integrated,Enabled,Successful,DMZ,Compliant,Medium,DevOps,SOX,DBA Team,2026-08-04
WIN-0187,WIN-FILE-DR-87,win-server-087.corp.local,10.93.119.14,Windows Server 2016,14393.3470,Development,Marketing,High,Compliant,2026-07-18,Healthy,2,10,Not Onboarded,Automatic,7,Uncontrolled,Integrated,Enabled,Failed,Management,Compliant,Medium,DBA Team,PCI DSS,IAM Team,2026-08-07
WIN-0188,WIN-APP-PROD-88,win-server-088.corp.local,10.159.13.220,Windows Server 2019,20348.4904,Production,Engineering,High,Overdue,2026-08-06,Healthy,5,6,Onboarded,Manual,7,Uncontrolled,Integrated,Enabled,Successful,Restricted,Partially Compliant,Low,AppSec,PCI DSS,AppSec,2026-08-12
WIN-0189,WIN-DB-PROD-89,win-server-089.corp.local,10.236.163.191,Windows Server 2016,17763.4802,QA,Operations,Critical,Compliant,2026-07-27,Healthy,9,22,Exempted,Manual,5,Controlled,Integrated,Enabled,Successful,DMZ,Compliant,Medium,IAM Team,NIST 800-53,SOC,2026-08-13
WIN-0190,WIN-DC-PROD-90,win-server-090.corp.local,10.250.4.148,Windows Server 2019,14393.3129,UAT,Legal,High,Compliant,2026-07-23,Healthy,4,6,Pending,Automatic,8,Uncontrolled,Exempted,Enabled,Successful,Management,Non-Compliant,Medium,DBA Team,PCI DSS,DevOps,2026-07-30
WIN-0191,WIN-WEB-DR-91,win-server-091.corp.local,10.23.154.95,Windows Server 2022,20348.4115,DR,Engineering,Medium,Compliant,2026-06-17,Healthy,5,23,Not Onboarded,Manual,7,Controlled,Integrated,Enabled,Successful,Restricted,Compliant,Medium,SOC,ISO 27001,SOC,2026-08-15
WIN-0192,WIN-APP-UAT-92,win-server-092.corp.local,10.65.227.36,Windows Server 2022,20348.4321,QA,Security,Medium,Failed,2026-08-05,Not Installed,5,16,Exempted,Not Configured,3,Uncontrolled,Integrated,Disabled,Successful,DMZ,Not Assessed,Low,DBA Team,HIPAA,IAM Team,2026-07-31
WIN-0193,WIN-APP-UAT-93,win-server-093.corp.local,10.140.11.134,Windows Server 2019,14393.3008,UAT,HR,Medium,Compliant,2026-07-28,Unhealthy,12,10,Onboarded,Automatic,6,Uncontrolled,Not Integrated,Enabled,Successful,Management,Compliant,Medium,SOC,NIST 800-53,Platform Ops,2026-08-06
WIN-0194,WIN-DB-UAT-94,win-server-094.corp.local,10.230.193.49,Windows Server 2016,17763.4829,Development,Marketing,Critical,Compliant,2026-08-17,Unhealthy,4,7,Not Onboarded,Manual,5,Uncontrolled,Integrated,Enabled,Failed,Internal,Compliant,High,Platform Ops,PCI DSS,DBA Team,2026-08-02
WIN-0195,WIN-APP-DR-95,win-server-095.corp.local,10.116.244.31,Windows Server 2022,20348.4354,QA,Finance,Medium,Compliant,2026-07-08,Healthy,4,13,Not Onboarded,Manual,8,Uncontrolled,Integrated,Enabled,Overdue,Management,Compliant,Critical,DevOps,HIPAA,DBA Team,2026-08-01
WIN-0196,WIN-FILE-PROD-96,win-server-096.corp.local,10.109.177.151,Windows Server 2016,20348.4943,QA,Finance,High,Exception,2026-08-15,Healthy,8,2,Onboarded,Automatic,2,Controlled,Not Integrated,Enabled,Overdue,Internal,Compliant,Medium,DevOps,HIPAA,Platform Ops,2026-08-07
WIN-0197,WIN-APP-UAT-97,win-server-097.corp.local,10.33.152.221,Windows Server 2016,17763.4915,Development,Security,Critical,Compliant,2026-07-22,Unhealthy,6,25,Onboarded,Exempted,1,Controlled,Integrated,Enabled,Successful,Management,Compliant,High,AppSec,ISO 27001,AppSec,2026-08-13
WIN-0198,WIN-DB-PROD-98,win-server-098.corp.local,10.51.124.125,Windows Server 2019,17763.3793,DR,Marketing,High,Compliant,2026-07-29,Healthy,10,18,Onboarded,Not Configured,4,Uncontrolled,Not Integrated,Partial,Successful,DMZ,Compliant,Medium,Network Ops,ISO 27001,IAM Team,2026-08-12
WIN-0199,WIN-RDS-DR-99,win-server-099.corp.local,10.6.182.135,Windows Server 2016,20348.4300,Development,Finance,High,Compliant,2026-07-02,Healthy,6,2,Onboarded,Automatic,5,Disabled,Not Integrated,Enabled,Successful,DMZ,Exception Approved,Low,IAM Team,NIST 800-53,Platform Ops,2026-08-24
WIN-0200,WIN-RDS-PROD-100,win-server-100.corp.local,10.115.169.140,Windows Server 2022,14393.3538,QA,Finance,Low,Overdue,2026-06-13,Healthy,8,1,Not Onboarded,Automatic,3,Controlled,Not Integrated,Enabled,Successful,Internal,Compliant,Medium,Network Ops,ISO 27001,IAM Team,2026-08-17
WIN-0201,WIN-DB-DR-101,win-server-101.corp.local,10.236.63.221,Windows Server 2022,17763.3386,QA,Security,High,Compliant,2026-07-08,Healthy,10,17,Pending,Not Configured,2,Controlled,Integrated,Enabled,Failed,Internal,Compliant,Low,IAM Team,ISO 27001,Platform Ops,2026-08-19
WIN-0202,WIN-DC-UAT-102,win-server-102.corp.local,10.93.241.58,Windows Server 2022,20348.3122,QA,Finance,Low,Overdue,2026-08-23,Healthy,11,11,Not Onboarded,Automatic,4,Uncontrolled,Integrated,Enabled,Failed,Management,Non-Compliant,Low,Platform Ops,PCI DSS,Network Ops,2026-08-10
WIN-0203,WIN-APP-DR-103,win-server-103.corp.local,10.154.8.107,Windows Server 2019,14393.3173,DR,Marketing,Medium,Compliant,2026-07-07,Healthy,10,25,Onboarded,Exempted,6,Controlled,Integrated,Enabled,Successful,Management,Non-Compliant,Medium,DBA Team,ISO 27001,DevOps,2026-08-09
WIN-0204,WIN-FILE-UAT-104,win-server-104.corp.local,10.170.202.147,Windows Server 2019,20348.3690,Production,Legal,High,Compliant,2026-06-21,Healthy,1,8,Exempted,Manual,5,Disabled,Integrated,Enabled,Overdue,Restricted,Exception Approved,Medium,AppSec,SOX,Platform Ops,2026-07-31
WIN-0205,WIN-RDS-DR-105,win-server-105.corp.local,10.72.68.154,Windows Server 2022,14393.4349,DR,Marketing,Medium,Overdue,2026-05-30,Healthy,10,21,Onboarded,Automatic,6,Controlled,Integrated,Enabled,Successful,Restricted,Non-Compliant,High,DBA Team,SOX,Platform Ops,2026-07-29
WIN-0206,WIN-DC-DR-106,win-server-106.corp.local,10.63.101.124,Windows Server 2016,20348.4909,Development,Security,High,Compliant,2026-06-10,Healthy,1,12,Not Onboarded,Not Configured,7,Controlled,Integrated,Partial,Overdue,Management,Exception Approved,Medium,DBA Team,SOX,Network Ops,2026-08-08
WIN-0207,WIN-WEB-PROD-107,win-server-107.corp.local,10.252.110.161,Windows Server 2022,14393.3221,QA,Security,High,Compliant,2026-08-03,Healthy,12,25,Onboarded,Exempted,1,Uncontrolled,Integrated,Enabled,Successful,Internal,Exception Approved,Medium,Platform Ops,NIST 800-53,DevOps,2026-08-08
WIN-0208,WIN-APP-DR-108,win-server-108.corp.local,10.251.160.185,Windows Server 2022,20348.3880,DR,Operations,High,Overdue,2026-07-23,Not Installed,5,7,Onboarded,Automatic,6,Uncontrolled,Integrated,Partial,Successful,Internal,Not Assessed,Critical,DevOps,ISO 27001,AppSec,2026-08-01
WIN-0209,WIN-APP-PROD-109,win-server-109.corp.local,10.217.105.57,Windows Server 2019,20348.4248,DR,Operations,Low,Compliant,2026-08-26,Healthy,4,13,Onboarded,Manual,7,Controlled,Integrated,Disabled,Successful,Management,Compliant,Medium,SOC,ISO 27001,DBA Team,2026-08-14
WIN-0210,WIN-WEB-PROD-110,win-server-110.corp.local,10.226.173.126,Windows Server 2022,14393.3701,UAT,Finance,High,Overdue,2026-07-01,Healthy,5,4,Onboarded,Manual,7,Controlled,Integrated,Enabled,Successful,Restricted,Compliant,High,Platform Ops,HIPAA,Network Ops,2026-07-29
WIN-0211,WIN-APP-UAT-111,win-server-111.corp.local,10.240.145.63,Windows Server 2016,14393.3132,QA,Legal,Medium,Compliant,2026-07-13,Healthy,0,15,Onboarded,Automatic,8,Disabled,Integrated,Enabled,Successful,Restricted,Exception Approved,High,Platform Ops,PCI DSS,Platform Ops,2026-07-30
WIN-0212,WIN-FILE-UAT-112,win-server-112.corp.local,10.136.208.51,Windows Server 2019,20348.3746,Production,Marketing,High,Overdue,2026-08-06,Healthy,11,17,Not Onboarded,Automatic,2,Controlled,Integrated,Enabled,Successful,Management,Compliant,Low,Platform Ops,HIPAA,AppSec,2026-08-21
WIN-0213,WIN-DB-PROD-113,win-server-113.corp.local,10.159.14.147,Windows Server 2016,14393.3360,UAT,HR,High,Compliant,2026-08-05,Healthy,12,6,Onboarded,Manual,2,Controlled,Integrated,Disabled,Successful,Internal,Partially Compliant,Medium,AppSec,PCI DSS,Platform Ops,2026-08-09
WIN-0214,WIN-DB-PROD-114,win-server-114.corp.local,10.84.219.44,Windows Server 2022,14393.4665,Production,HR,High,Compliant,2026-08-09,Healthy,7,4,Exempted,Not Configured,4,Disabled,Partial,Enabled,Successful,DMZ,Compliant,Medium,DevOps,PCI DSS,Platform Ops,2026-08-06
WIN-0215,WIN-APP-PROD-115,win-server-115.corp.local,10.252.97.35,Windows Server 2019,20348.3943,Development,Marketing,High,Overdue,2026-06-17,Healthy,6,16,Not Onboarded,Automatic,6,Uncontrolled,Integrated,Disabled,Successful,Restricted,Non-Compliant,Medium,Network Ops,HIPAA,Platform Ops,2026-08-01
WIN-0216,WIN-APP-UAT-116,win-server-116.corp.local,10.95.216.77,Windows Server 2019,14393.4851,QA,Security,High,Compliant,2026-07-17,Healthy,12,0,Onboarded,Automatic,3,Controlled,Integrated,Disabled,Successful,Restricted,Compliant,High,Platform Ops,HIPAA,AppSec,2026-08-11
WIN-0217,WIN-RDS-DR-117,win-server-117.corp.local,10.96.226.53,Windows Server 2022,17763.3851,Production,Operations,Low,Failed,2026-08-14,Healthy,0,11,Onboarded,Automatic,7,Disabled,Partial,Enabled,Successful,Management,Compliant,Low,DBA Team,HIPAA,IAM Team,2026-08-15
WIN-0218,WIN-WEB-UAT-118,win-server-118.corp.local,10.43.3.254,Windows Server 2019,17763.4524,Development,Engineering,Critical,Compliant,2026-06-07,Healthy,0,14,Onboarded,Automatic,8,Controlled,Integrated,Enabled,Failed,Internal,Exception Approved,Low,SOC,ISO 27001,IAM Team,2026-08-05
WIN-0219,WIN-RDS-UAT-119,win-server-119.corp.local,10.145.130.18,Windows Server 2019,20348.3676,QA,Legal,Medium,Compliant,2026-08-08,Unhealthy,3,2,Not Onboarded,Manual,5,Controlled,Integrated,Enabled,Overdue,DMZ,Compliant,High,DBA Team,PCI DSS,SOC,2026-08-09
